編號,車號,進廠日期,進廠時間,出廠日期,出廠時間,客戶,品名,料號,重量,總重,過磅員,序號,過磅方式,卡號,進貨
60793,KEA-9810,20250227,104553,20250227,105310,桃園區中隊,,桃園中隊(廢傢俱),4220,5110,八德區清潔隊,41,,,-1
60794,KEE-1716,20250227,104451,20250227,105713,桃園區中隊,,桃園中隊(廢傢俱),4530,5190,八德區清潔隊,42,,,-1
60795,KEQ-9210,20250227,110154,20250227,110513,中壢區中隊,,彈簧床,5030,6040,八德區清潔隊,43,,,-1
60796,680-S5,20250227,110428,20250227,111303,桃園區中隊,抓斗車,桃園中隊(廢傢俱),9010,11220,八德區清潔隊,44,,,-1
60797,KEG-3097,20250227,110557,20250227,111431,桃園區中隊,,桃園中隊(廢傢俱),4560,5640,八德區清潔隊,45,,,-1
60798,KEG-3362,20250227,112058,20250227,112459,楊梅區中隊,,彈簧床,4990,5490,八德區清潔隊,46,,,-1
60799,KEG-3096,20250227,112137,20250227,112544,桃園區中隊,,桃園中隊(廢傢俱),4440,4960,八德區清潔隊,47,,,-1
60800,KEA-9807,20250227,114300,20250227,114720,桃園區中隊,,桃園中隊(廢傢俱),4360,5450,八德區清潔隊,48,,,-1
60801,KEP-2602/預備車,20250227,115154,20250227,115607,八德區垃圾車,壓6,,10280,14320,八德區清潔隊,49,,0000020785,-1
60802,KEA-9701,20250227,121000,20250227,123133,桃園區中隊,,巨大傢俱,20790,28520,八德區清潔隊,50,,,-1
60803,KEK-3326,20250227,124408,20250227,125541,八德區清潔隊,抓斗車,,9110,10860,八德區清潔隊,51,,0000020553,-1
60804,KEE-3707,20250227,134604,20250227,135241,桃園區中隊,,桃園中隊(廢傢俱),4540,5610,八德區清潔隊,52,,,-1
60805,AAJ-350,20250227,134944,20250227,135258,八德區清潔隊,抓斗車,,8870,9340,八德區清潔隊,53,*,0000047601,-1
60806,KEK-5997,20250227,140004,20250227,140413,八德區清潔隊,,,4350,4590,八德區清潔隊,54,,0000023031,-1
60807,702-UA,20250227,140059,20250227,140712,八德區清潔隊,,,4050,4320,八德區清潔隊,55,,000002053,-1
60808,980-VM,20250227,140314,20250227,140933,八德區清潔隊,市場車,,8970,11160,八德區清潔隊,56,*,0000020595,-1
60809,KEA-9816,20250227,140021,20250227,141021,八德區清潔隊,,,4360,4580,八德區清潔隊,57,,0000020730,-1
60810,KEG-3218,20250227,140547,20250227,141115,八德區垃圾車,壓5,,9250,11680,八德區清潔隊,58,,0000020506,-1
60811,KEA-7213,20250227,140732,20250227,141259,八德區清潔隊,市場車,,9350,11670,八德區清潔隊,59,,0000020596,-1
60812,851-UA,20250227,140956,20250227,141339,八德區清潔隊,,,4160,4800,八德區清潔隊,60,,0000020534,-1
60813,125-VN,20250227,140839,20250227,141708,桃園區中隊,抓斗車,桃園中隊(廢傢俱),8440,8990,八德區清潔隊,61,,,-1
60814,KEK-2002,20250227,141438,20250227,142056,八德區清潔隊,黑包組,,4120,4860,八德區清潔隊,62,,000002054,-1
60815,KEA-7113,20250227,141816,20250227,142234,八德區清潔隊,,,4340,5060,八德區清潔隊,63,,0000047605,-1
60816,KED-0158,20250227,142215,20250227,142757,八德區清潔隊,,,4340,4860,八德區清潔隊,64,,0000047524,-1
60817,KEA-9701,20250227,135918,20250227,142942,桃園區中隊,,巨大傢俱,20710,29260,八德區清潔隊,65,,,-1
60818,KEU-1721,20250227,142905,20250227,143354,八德區垃圾車,壓13,,7400,8630,八德區清潔隊,66,*,0000048402,-1
60819,KEP-3822,20250227,143237,20250227,143916,八德區垃圾車,壓21,,7340,8090,八德區清潔隊,67,*,0000020789,-1
60820,KEP-3821,20250227,143503,20250227,144123,八德區垃圾車,壓11,,7360,8950,八德區清潔隊,68,*,0000020794,-1
60821,KEE-1716,20250227,143102,20250227,144143,桃園區中隊,,桃園中隊(廢傢俱),4530,5930,八德區清潔隊,69,,,-1
60822,707-VM,20250227,143855,20250227,144606,八德區清潔隊,,,4430,4510,八德區清潔隊,70,*,0000020537,-1
60823,302-VN,20250227,144215,20250227,144748,八德區清潔隊,,,4500,5050,八德區清潔隊,71,*,0000020535,-1
60824,KEP-5261,20250227,165613,20250227,170115,八德區垃圾車,壓12,,6470,9690,八德區清潔隊,72,,0000020587,-1
60825,KES-5103,20250227,173135,20250227,173603,八德區垃圾車,壓23,,5220,7970,八德區清潔隊,73,,0000020793,-1
60826,AAH-813,20250227,174601,20250227,175016,八德區垃圾車,壓6,,9900,15680,八德區清潔隊,74,,0000020507,-1
60827,KEJ-6305,20250227,174834,20250227,175219,八德區垃圾車,壓17,,6060,8950,八德區清潔隊,75,,0000020791,-1
60828,KEP-3821,20250227,175802,20250227,180245,八德區垃圾車,壓11,,7350,10500,八德區清潔隊,76,,0000020794,-1
60829,KEP-3822,20250227,180816,20250227,181325,八德區垃圾車,壓21,,7330,11240,八德區清潔隊,77,,0000020789,-1
60830,KEG-3218,20250227,181029,20250227,181658,八德區垃圾車,壓5,,9260,13620,八德區清潔隊,78,,0000020506,-1
60831,165-VM/預備車,20250227,181818,20250227,182218,八德區垃圾車,,,7010,10640,八德區清潔隊,79,,0000020519,-1
60832,KEU-1721,20250227,182145,20250227,182545,八德區垃圾車,壓13,,7270,11730,八德區清潔隊,80,,0000048402,-1
60833,KEP-5256,20250227,182259,20250227,182819,八德區垃圾車,壓18,,6490,9900,八德區清潔隊,81,,0000020585,-1
60834,KEU-1722,20250227,183321,20250227,183956,八德區垃圾車,,,7480,11510,八德區清潔隊,82,,0000048403,-1
60835,KEE-3861,20250227,183546,20250227,184059,八德區垃圾車,壓8,,5920,9280,八德區清潔隊,83,,0000020509,-1
60836,KEP-5261,20250227,184338,20250227,184921,八德區垃圾車,壓12,,6540,8710,八德區清潔隊,84,,0000020587,-1
60837,KEU-1720,20250227,184734,20250227,185145,八德區垃圾車,壓2,,7270,11190,八德區清潔隊,85,*,0000048401,-1
60838,KEA-7212,20250227,185454,20250227,190030,八德區垃圾車,壓1,,9620,13950,八德區清潔隊,86,,0000047611,-1
60839,KEP-2602/預備車,20250227,185648,20250227,190151,八德區垃圾車,壓6,,10350,16270,八德區清潔隊,87,,0000020785,-1
60840,KES-5103,20250227,190432,20250227,190813,八德區垃圾車,壓23,,5140,6860,八德區清潔隊,88,,0000020793,-1
60841,KEJ-6305,20250227,190924,20250227,191317,八德區垃圾車,壓17,,6060,8330,八德區清潔隊,89,,0000020791,-1
60842,768-S5,20250227,193859,20250227,194421,八德區垃圾車,壓3,,10050,13870,八德區清潔隊,90,,0000020505,-1
60843,KEP-3821,20250227,194002,20250227,194521,八德區垃圾車,壓11,,7320,10010,八德區清潔隊,91,,0000020794,-1
60844,165-VM/預備車,20250227,195119,20250227,195633,八德區垃圾車,,,7020,10580,八德區清潔隊,92,,0000020519,-1
60845,AAH-813,20250227,200000,20250227,200411,八德區垃圾車,壓6,,9910,15020,八德區清潔隊,93,,0000020507,-1
60846,KEP-5261,20250227,201136,20250227,201651,八德區垃圾車,壓12,,6610,8750,八德區清潔隊,94,,0000020587,-1
60847,KEP-3822,20250227,201207,20250227,201801,八德區垃圾車,壓21,,7320,11880,八德區清潔隊,95,,0000020789,-1
60848,KES-5103,20250227,201823,20250227,202259,八德區垃圾車,壓23,,5270,7380,八德區清潔隊,96,,0000020793,-1
60849,KEE-3861,20250227,202316,20250227,202740,八德區垃圾車,壓8,,5920,9190,八德區清潔隊,97,,0000020509,-1
60850,KEJ-6305,20250227,202331,20250227,202809,八德區垃圾車,壓17,,6060,7530,八德區清潔隊,98,,0000020791,-1
60851,KEP-5256,20250227,203434,20250227,203909,八德區垃圾車,壓18,,6480,8920,八德區清潔隊,99,,0000020585,-1
60852,KEU-1720,20250227,204912,20250227,205340,八德區垃圾車,壓2,,7230,10230,八德區清潔隊,100,*,0000048401,-1
60853,KEK-2003,20250228,075028,20250228,075503,八德區清潔隊,定點回收,燈管-廢衣服,4270,4380,八德區清潔隊,1,,0000020549,-1
60854,KEP-5260,20250227,193040,20250227,194540,八德區垃圾車,壓19,,6440,8880,八德區清潔隊,90,#,,-1
60855,767-S5,20250227,195051,20250227,200251,八德區垃圾車,壓16,,9960,15360,八德區清潔隊,92,#,,-1
