編號,車號,進廠日期,進廠時間,出廠日期,出廠時間,客戶,品名,料號,重量,總重,過磅員,序號,過磅方式,卡號,進貨
53490,KLD-5506,20241119,051500,20241119,061000,正億,,垃圾,18030,36860,八德區清潔隊,32,#,,-1
53491,LAG-219,20241119,052041,20241119,063041,正億,,垃圾,18000,37900,八德區清潔隊,99,#,,-1
53494,KEA-9702,20241119,085055,20241119,091155,八德區中隊,轉運車,垃圾,20690,39320,八德區清潔隊,100,#,,-1
53495,KLD-5506,20241119,091019,20241119,093019,正億,,垃圾,18030,38330,八德區清潔隊,103,#,,-1
53496,860-UA,20241119,092833,20241119,093320,楊梅區中隊,,彈簧床,4200,4650,八德區清潔隊,1,,,-1
53497,030-VM,20241119,092953,20241119,093352,八德區清潔隊,抓斗車,,7980,9030,八德區清潔隊,2,*,0000020551,-1
53498,KEA-7113,20241119,093707,20241119,094305,八德區清潔隊,,,4300,5040,八德區清潔隊,3,,0000047605,-1
53499,LAG-219,20241119,091100,20241119,094400,正億,,垃圾,18000,36980,八德區清潔隊,104,#,,-1
53500,903-S5,20241119,094013,20241119,094524,八德區清潔隊,社區定點,,5120,7550,八德區清潔隊,5,,0000020521,-1
53501,448-VM,20241119,094039,20241119,094734,八德區清潔隊,社區定點,,7170,11270,八德區清潔隊,6,*,0000020589,-1
53502,980-UN,20241119,094542,20241119,094758,八德區清潔隊,,,6210,6750,八德區清潔隊,7,*,0000020542,-1
53503,KEA-9816,20241119,094246,20241119,094948,八德區清潔隊,,,4360,5000,八德區清潔隊,8,*,0000020730,-1
53504,851-UA,20241119,095255,20241119,100114,八德區清潔隊,,,4130,5080,八德區清潔隊,9,*,0000020534,-1
53505,KEA-7025,20241119,100320,20241119,101059,八德區清潔隊,,,4680,5740,八德區清潔隊,10,,0000020540,-1
53506,KEE-3253,20241119,100046,20241119,101125,新屋區中隊,,彈簧床,4360,5570,八德區清潔隊,11,,,-1
53507,302-VN,20241119,100515,20241119,101233,八德區清潔隊,,,4580,5770,八德區清潔隊,12,*,0000020535,-1
53508,KEK-8618,20241119,095524,20241119,101300,富立達,,巨大傢俱,16660,22450,八德區清潔隊,13,,,-1
53509,KEA-9797,20241119,100957,20241119,101326,中壢區中隊,,彈簧床,4240,5180,八德區清潔隊,14,,,-1
53510,KEC-2619,20241119,101013,20241119,101821,八德區清潔隊,,,4320,4900,八德區清潔隊,15,,000002054,-1
53511,AAJ-350,20241119,101445,20241119,102138,八德區清潔隊,抓斗車,,8890,10130,八德區清潔隊,16,*,0000047601,-1
53512,KEP-6151,20241119,100606,20241119,102318,八德區清潔隊,社區定點,,10300,16770,八德區清潔隊,17,*,0000047604,-1
53513,KEK-2002,20241119,102202,20241119,102917,八德區清潔隊,黑包組,,4180,5240,八德區清潔隊,18,*,0000020548,-1
53514,KEK-3326,20241119,102803,20241119,103602,八德區清潔隊,抓斗車,,9130,9960,八德區清潔隊,19,,000002055,-1
53515,157-VM/預備車,20241119,102420,20241119,103638,八德區清潔隊,黑包組,,5490,6270,八德區清潔隊,20,*,0000020528,-1
53516,KEA-7025,20241119,103508,20241119,103828,八德區清潔隊,,,4610,4770,八德區清潔隊,21,,0000020540,-1
53517,693-UA,20241119,103443,20241119,103903,中壢區中隊,,彈簧床,4210,5040,八德區清潔隊,22,,,-1
53518,KEA-8000,20241119,103158,20241119,103940,八德區清潔隊,,,4140,4870,八德區清潔隊,23,,0000047602,-1
53519,KEA-9816,20241119,103430,20241119,104057,八德區清潔隊,,,4370,4550,八德區清潔隊,24,,0000020730,-1
53520,KEG-3367,20241119,105407,20241119,105750,平鎮區中隊,,彈簧床,4820,5450,八德區清潔隊,25,,,-1
53521,707-VM,20241119,105814,20241119,110253,八德區清潔隊,,,3970,4100,八德區清潔隊,26,*,0000020537,-1
53522,KEG-3363,20241119,110317,20241119,110651,平鎮區中隊,,彈簧床,4850,5570,八德區清潔隊,27,,,-1
53523,852-UW,20241119,110415,20241119,111238,中壢區中隊,,彈簧床,4000,4840,八德區清潔隊,28,,,-1
53524,KEP-2602/預備車,20241119,111018,20241119,111550,八德區垃圾車,市場車,,10180,16080,八德區清潔隊,29,*,0000020785,-1
53525,KEQ-9210,20241119,111421,20241119,111756,中壢區中隊,,彈簧床,5030,5710,八德區清潔隊,30,,,-1
53526,KEA-9702,20241119,105208,20241119,111908,八德區中隊,轉運車,垃圾,20680,39430,八德區清潔隊,5,#,,-1
53527,903-S5,20241119,112401,20241119,112809,八德區清潔隊,社區定點,,5240,6300,八德區清潔隊,32,,0000020521,-1
53528,KEP-2602/預備車,20241119,141126,20241119,141708,八德區垃圾車,市場車,,10300,12710,八德區清潔隊,33,*,0000020785,-1
53529,KEC-2619,20241119,141943,20241119,142519,八德區清潔隊,,,4310,4700,八德區清潔隊,34,,0000020543,-1
53530,851-UA,20241119,142018,20241119,142532,八德區清潔隊,,,4120,4790,八德區清潔隊,35,*,0000020534,-1
53531,AAH-813,20241119,142257,20241119,142700,八德區垃圾車,壓6,,9860,10550,八德區清潔隊,36,,0000020507,-1
53532,KEC-2620,20241119,142947,20241119,143408,八德區清潔隊,,,4310,5130,八德區清潔隊,37,,0000020591,-1
53533,166-VM/預備車,20241119,141747,20241119,143452,八德區垃圾車,市場車,,6840,8300,八德區清潔隊,38,*,0002756357,-1
53534,767-S5,20241119,143052,20241119,143639,八德區垃圾車,壓16,,10030,10650,八德區清潔隊,39,,000002051,-1
53535,157-VM/預備車,20241119,143221,20241119,143736,八德區清潔隊,黑包組,,5470,5950,八德區清潔隊,40,,000002052,-1
53536,KEE-3801,20241119,144055,20241119,144543,八德區垃圾車,壓7,,7710,9160,八德區清潔隊,41,*,0000020598,-1
53537,KEK-2002,20241119,150142,20241119,150654,八德區清潔隊,黑包組,,4100,4470,八德區清潔隊,42,,0000020548,-1
53538,705-UA,20241119,150308,20241119,151129,八德區清潔隊,,,4060,4460,八德區清潔隊,43,,0000020533,-1
53539,KEP-5261,20241119,165233,20241119,165742,八德區垃圾車,壓12,,6510,8300,八德區清潔隊,44,,0000020587,-1
53540,KES-5103,20241119,172544,20241119,173038,八德區垃圾車,壓23,,5220,6650,八德區清潔隊,45,,0000020793,-1
53541,KEP-3821,20241119,175523,20241119,180017,八德區垃圾車,壓11,,7320,10160,八德區清潔隊,46,,0000020794,-1
53542,KEG-3218,20241119,175547,20241119,180201,八德區垃圾車,壓5,,9230,11910,八德區清潔隊,47,,0000020506,-1
53543,KEP-3822,20241119,175634,20241119,180334,八德區垃圾車,壓21,,7370,10080,八德區清潔隊,48,,0000020789,-1
53544,KEJ-6305,20241119,180222,20241119,180635,八德區垃圾車,壓17,,5950,8180,八德區清潔隊,49,,0000020791,-1
53545,341-VN,20241119,180954,20241119,181352,八德區垃圾車,壓13,,7030,10220,八德區清潔隊,50,,0000020513,-1
53546,KEE-3801,20241119,181528,20241119,181917,八德區垃圾車,壓7,,7700,9930,八德區清潔隊,51,,0000020598,-1
53547,920-UW,20241119,182242,20241119,182844,八德區垃圾車,壓22,,7060,9380,八德區清潔隊,52,,0000020593,-1
53548,KEE-3861,20241119,183817,20241119,184224,八德區垃圾車,壓8,,5900,8180,八德區清潔隊,53,,0000020509,-1
53549,KEA-7213,20241119,191507,20241119,192048,八德區清潔隊,市場車,,9470,12910,八德區清潔隊,54,,0000020596,-1
53550,767-S5,20241119,193405,20241119,193938,八德區垃圾車,壓16,,10000,15170,八德區清潔隊,55,,0000020515,-1
53551,KEP-3821,20241119,193705,20241119,194237,八德區垃圾車,壓11,,7370,9170,八德區清潔隊,56,,0000020794,-1
53552,KEJ-6305,20241119,193722,20241119,194318,八德區垃圾車,壓17,,5940,7970,八德區清潔隊,57,,0000020791,-1
53553,768-S5,20241119,193851,20241119,194524,八德區垃圾車,壓3,,9940,14610,八德區清潔隊,58,*,0000020505,-1
53554,AAH-813,20241119,195056,20241119,195519,八德區垃圾車,壓6,,9860,15770,八德區清潔隊,59,,0000020507,-1
53555,KEG-3218,20241119,195316,20241119,195822,八德區垃圾車,壓5,,9220,11590,八德區清潔隊,60,,0000020506,-1
53556,KEE-3801,20241119,195443,20241119,195903,八德區垃圾車,壓7,,7680,10220,八德區清潔隊,61,,0000020598,-1
53557,920-UW,20241119,200517,20241119,201055,八德區垃圾車,壓22,,7060,9270,八德區清潔隊,62,,0000020593,-1
53558,KEP-3822,20241119,200819,20241119,201341,八德區垃圾車,壓21,,7340,10220,八德區清潔隊,63,,0000020789,-1
53559,KEK-2897,20241119,201128,20241119,201744,八德區垃圾車,壓9,,10410,15960,八德區清潔隊,64,,0002756369,-1
53560,341-VN,20241119,201402,20241119,201841,八德區垃圾車,壓13,,7030,10340,八德區清潔隊,65,,0000020513,-1
53561,KES-5103,20241119,201457,20241119,202042,八德區垃圾車,壓23,,5220,7590,八德區清潔隊,66,,0000020793,-1
53562,KEP-5261,20241119,201532,20241119,202146,八德區垃圾車,壓12,,6510,9630,八德區清潔隊,67,,0000020587,-1
53563,KEE-3861,20241119,201551,20241119,202228,八德區垃圾車,壓8,,5910,8180,八德區清潔隊,68,,0000020509,-1
53564,KEP-5256,20241119,201712,20241119,202400,八德區垃圾車,壓18,,6460,10010,八德區清潔隊,69,,0000020585,-1
53565,KEA-7212,20241119,204032,20241119,204629,八德區垃圾車,壓1,,9670,14280,八德區清潔隊,70,,0000047611,-1
53566,166-VM/預備車,20241119,204108,20241119,204722,八德區垃圾車,市場車,,6990,11240,八德區清潔隊,71,*,0002756357,-1
53567,KEP-5260,20241119,192836,20241119,194036,八德區垃圾車,壓19,,6510,9540,八德區清潔隊,55,#,,-1
53568,KLD-5506,20241120,051534,20241120,061034,正億,,垃圾,17950,38800,八德區清潔隊,1,#,,-1
53569,LAG-219,20241120,052000,20241120,063000,正億,,垃圾,18000,37500,八德區清潔隊,2,#,,-1
53570,851-UA,20241120,092605,20241120,092900,八德區清潔隊,,,4120,4570,八德區清潔隊,3,,0000020534,-1
53571,KLD-5506,20241120,085508,20241120,093008,正億,,垃圾,17950,39180,八德區清潔隊,4,#,,-1
53572,LAG-219,20241120,085017,20241120,093217,正億,,垃圾,18000,38700,八德區清潔隊,3,#,,-1
53573,KEA-8000,20241120,094211,20241120,094622,八德區清潔隊,,,4030,4510,八德區清潔隊,6,,0000047602,-1
53574,860-UA,20241120,094252,20241120,094648,楊梅區中隊,,彈簧床,4180,4700,八德區清潔隊,7,,,-1
53575,703-UA,20241120,095042,20241120,095536,八德區清潔隊,,,4110,4790,八德區清潔隊,8,,0000020532,-1
53576,705-UA,20241120,095108,20241120,095710,八德區清潔隊,,,4050,4320,八德區清潔隊,9,,0000020533,-1
53577,KEK-3326,20241120,095741,20241120,100646,八德區清潔隊,抓斗車,,9130,10960,八德區清潔隊,10,,0000020553,-1
53578,KEA-9797,20241120,101102,20241120,101314,中壢區中隊,,彈簧床,4220,4830,八德區清潔隊,11,,,-1
53579,KEG-3101,20241120,101545,20241120,101942,蘆竹區中隊,,彈簧床,4570,5240,八德區清潔隊,12,,,-1
53580,AAJ-350,20241120,101704,20241120,102130,八德區清潔隊,抓斗車,,8900,10460,八德區清潔隊,13,*,0000047601,-1
53581,KEG-3130,20241120,101507,20241120,102428,蘆竹區中隊,,彈簧床,8890,10050,八德區清潔隊,14,,,-1
53582,693-UA,20241120,102108,20241120,102657,中壢區中隊,,彈簧床,4110,5050,八德區清潔隊,15,,,-1
53583,KEG-3363,20241120,102608,20241120,103157,平鎮區中隊,,彈簧床,4850,5550,八德區清潔隊,16,,,-1
53584,AAJ-337,20241120,103256,20241120,103956,蘆竹區中隊,抓斗車,彈簧床,8850,10020,八德區清潔隊,17,,,-1
53585,KEG-3103,20241120,103519,20241120,104025,蘆竹區中隊,,彈簧床,4590,5170,八德區清潔隊,18,,,-1
53586,KEG-3367,20241120,104235,20241120,104612,平鎮區中隊,,彈簧床,4880,5370,八德區清潔隊,19,,,-1
53587,KEQ-9210,20241120,110042,20241120,110350,中壢區中隊,,彈簧床,5030,5570,八德區清潔隊,20,,,-1
53588,LAG-219,20241120,105032,20241120,113432,正億,,垃圾,18000,37750,八德區清潔隊,3,#,,-1
53589,AAH-856,20241120,124805,20241120,130739,達清,,非允收物,13570,18800,八德區清潔隊,22,,,-1
53590,AAJ-350,20241120,133104,20241120,133555,八德區清潔隊,抓斗車,,8890,9230,八德區清潔隊,23,,0000047601,-1
53591,851-UA,20241120,134104,20241120,134525,八德區清潔隊,,,4120,4280,八德區清潔隊,24,,0000020534,-1
53592,KEA-7113,20241120,135527,20241120,135745,八德區清潔隊,,,4250,4540,八德區清潔隊,25,,0000047605,-1
53593,KED-0565,20241120,135502,20241120,135846,楊梅區中隊,,彈簧床,4400,5080,八德區清潔隊,26,,,-1
53594,KEK-5997,20241120,140145,20241120,140837,八德區清潔隊,,樹枝,4380,4780,八德區清潔隊,27,,0000023031,-1
53595,705-UA,20241120,142457,20241120,143508,八德區清潔隊,,,4070,4480,八德區清潔隊,28,,0000020533,-1
53596,166-VM/預備車,20241120,141337,20241120,143708,八德區垃圾車,市場車,,6810,8570,八德區清潔隊,29,,0002756357,-1
53597,KEA-7213,20241120,143224,20241120,143734,八德區清潔隊,市場車,,9510,12020,八德區清潔隊,30,,0000020596,-1
53598,707-VM,20241120,145013,20241120,145619,八德區清潔隊,,,4070,4470,八德區清潔隊,31,,0000020537,-1
53599,KLD-5506,20241121,051553,20241121,061053,正億,,垃圾,18040,37590,八德區清潔隊,1,#,,-1
53600,LAG-219,20241121,052027,20241121,063027,正億,,垃圾,18000,37900,八德區清潔隊,2,#,,-1
53601,KLN-3132,20241121,052504,20241121,064004,正億,,垃圾,18100,38470,八德區清潔隊,3,#,,-1
53602,448-VM,20241121,084857,20241121,085453,八德區清潔隊,社區定點,,7150,11290,八德區清潔隊,4,,0000020589,-1
53603,KEA-9702,20241121,080732,20241121,090732,八德區中隊,轉運車,垃圾,20680,37500,八德區清潔隊,5,#,,-1
53604,KLD-5506,20241121,080557,20241121,091557,正億,,垃圾,18040,38660,八德區清潔隊,6,#,,-1
53605,KEP-2602/預備車,20241121,090529,20241121,091829,八德區垃圾車,社區定點,,10190,15790,八德區清潔隊,7,#,,-1
53606,LAG-219,20241121,083014,20241121,092714,正億,,垃圾,18000,38690,八德區清潔隊,8,#,,-1
53607,107-VN,20241121,092520,20241121,093455,楊梅區中隊,,彈簧床,8280,8990,八德區清潔隊,9,,,-1
53608,903-S5,20241121,093402,20241121,094016,八德區清潔隊,社區定點,,5250,8880,八德區清潔隊,10,,0000020521,-1
53609,KLN-3132,20241121,084016,20241121,094316,正億,,垃圾,18100,39200,八德區清潔隊,11,#,,-1
53610,703-UA,20241121,094710,20241121,095055,八德區清潔隊,,,4060,5250,八德區清潔隊,12,,0000020532,-1
53611,KEC-2619,20241121,094444,20241121,095431,八德區清潔隊,,,4300,4900,八德區清潔隊,13,,0000020543,-1
53612,KEA-7113,20241121,100200,20241121,100738,八德區清潔隊,,,4250,5160,八德區清潔隊,14,,0000047605,-1
53613,705-UA,20241121,100054,20241121,100944,八德區清潔隊,,,4080,4600,八德區清潔隊,15,,0000020533,-1
53614,693-UA,20241121,101053,20241121,101453,中壢區中隊,,彈簧床,4270,5020,八德區清潔隊,16,,,-1
53615,KEC-2619,20241121,102016,20241121,102252,八德區清潔隊,,,4310,4730,八德區清潔隊,17,,0000020543,-1
53616,KEP-6151,20241121,102117,20241121,102649,八德區清潔隊,社區定點,,10340,17480,八德區清潔隊,18,,0000047604,-1
53617,KED-2532/預備車,20241121,102554,20241121,103219,八德區垃圾車,黑包組,,5190,5980,八德區清潔隊,19,,0002756363,-1
53618,KEC-2620,20241121,104058,20241121,104632,八德區清潔隊,,,4310,5210,八德區清潔隊,20,,0000020591,-1
53619,KEK-2002,20241121,103953,20241121,104715,八德區清潔隊,黑包組,,4190,5150,八德區清潔隊,21,,0000020548,-1
53620,448-VM,20241121,104333,20241121,104848,八德區清潔隊,社區定點,,7170,11080,八德區清潔隊,22,,0000020589,-1
53621,KEG-3363,20241121,104917,20241121,105309,平鎮區中隊,,彈簧床,4850,5670,八德區清潔隊,23,,,-1
53622,KEK-3326,20241121,105009,20241121,110025,八德區清潔隊,抓斗車,,9130,11720,八德區清潔隊,24,,0000020553,-1
53623,980-UN,20241121,105954,20241121,110120,八德區清潔隊,,,6210,6570,八德區清潔隊,25,,0000020542,-1
53624,903-S5,20241121,105842,20241121,110347,八德區清潔隊,社區定點,,5270,9450,八德區清潔隊,26,,0000020521,-1
53625,KEA-8000,20241121,105905,20241121,110415,八德區清潔隊,,,4160,4790,八德區清潔隊,27,,0000047602,-1
53626,KEK-5997,20241121,105732,20241121,110618,八德區清潔隊,,樹枝,4440,5200,八德區清潔隊,28,,0000023031,-1
53627,302-VN,20241121,110158,20241121,110946,八德區清潔隊,,,4550,5480,八德區清潔隊,29,,0000020535,-1
53628,KEA-9702,20241121,101340,20241121,111340,八德區中隊,轉運車,垃圾,20680,38780,八德區清潔隊,30,#,,-1
53629,030-VM,20241121,111040,20241121,111839,八德區清潔隊,抓斗車,,7990,12370,八德區清潔隊,31,,0000020551,-1
53630,KEQ-9210,20241121,111627,20241121,111944,中壢區中隊,,彈簧床,5030,6370,八德區清潔隊,32,,,-1
53631,KEP-2602/預備車,20241121,112024,20241121,112514,八德區垃圾車,社區定點,,10240,14500,八德區清潔隊,33,,0000020785,-1
53632,AAJ-350,20241121,124439,20241121,124740,八德區清潔隊,抓斗車,,8970,9380,八德區清潔隊,34,*,0000047601,-1
53633,KEA-9816,20241121,132327,20241121,133207,八德區清潔隊,,,4360,5510,八德區清潔隊,35,,0000020730,-1
53634,KEA-7113,20241121,133348,20241121,133630,八德區清潔隊,,,4270,4360,八德區清潔隊,36,,0000047605,-1
53635,KEE-2802,20241121,132102,20241121,134434,富立達,,巨大傢俱,18360,27360,八德區清潔隊,37,,,-1
53636,980-UN,20241121,140039,20241121,140221,八德區清潔隊,,,6200,7900,八德區清潔隊,38,,0000020542,-1
53637,KED-0565,20241121,140056,20241121,140422,楊梅區中隊,,彈簧床,4440,4990,八德區清潔隊,39,,,-1
53638,KEA-7213,20241121,140200,20241121,140742,八德區清潔隊,市場車,,9520,11610,八德區清潔隊,40,,0000020596,-1
53639,851-UA,20241121,140245,20241121,140800,八德區清潔隊,,,4040,4470,八德區清潔隊,41,*,0000020534,-1
53640,030-VM,20241121,140350,20241121,140821,八德區清潔隊,抓斗車,,7970,8090,八德區清潔隊,42,,0000020551,-1
53641,KEK-5997,20241121,140404,20241121,140855,八德區清潔隊,,樹枝,4430,4690,八德區清潔隊,43,,0000023031,-1
53642,KEA-8000,20241121,140602,20241121,141002,八德區清潔隊,,,4120,4300,八德區清潔隊,44,,0000047602,-1
53643,KEC-2619,20241121,141143,20241121,141545,八德區清潔隊,,,4330,4740,八德區清潔隊,45,,0000020543,-1
53644,KEK-2002,20241121,141201,20241121,141707,八德區清潔隊,黑包組,,4270,4490,八德區清潔隊,46,,0000020548,-1
53645,302-VN,20241121,141129,20241121,141858,八德區清潔隊,,,4490,4820,八德區清潔隊,47,,0000020535,-1
53646,166-VM/預備車,20241121,140524,20241121,142003,八德區垃圾車,市場車,,6900,8670,八德區清潔隊,48,,0002756357,-1
53647,341-VN,20241121,141523,20241121,142129,八德區垃圾車,壓13,,6990,7940,八德區清潔隊,49,,,-1
53648,KEK-3326,20241121,142202,20241121,142833,八德區清潔隊,抓斗車,,9110,10190,八德區清潔隊,50,,0000020553,-1
53649,KEP-3822,20241121,142427,20241121,142954,八德區垃圾車,壓21,,7340,8430,八德區清潔隊,51,,0000020789,-1
53650,KEG-3218,20241121,142553,20241121,143128,八德區垃圾車,壓5,,9250,9860,八德區清潔隊,52,,,-1
53651,KEP-3821,20241121,143238,20241121,143814,八德區垃圾車,壓11,,7410,8900,八德區清潔隊,53,,0000020794,-1
53652,KEE-3801,20241121,144721,20241121,145226,八德區垃圾車,壓7,,7660,10170,八德區清潔隊,54,,0000020598,-1
53653,KEA-7212,20241121,145715,20241121,150313,八德區垃圾車,壓1,,9640,10280,八德區清潔隊,55,,0000047611,-1
53654,KEP-5261,20241121,165025,20241121,165541,八德區垃圾車,壓12,,6560,9660,八德區清潔隊,56,,0000020587,-1
53655,KES-5103,20241121,172836,20241121,173322,八德區垃圾車,壓23,,5210,7760,八德區清潔隊,57,,0000020793,-1
53656,KEJ-6305,20241121,173952,20241121,174500,八德區垃圾車,壓17,,5950,8730,八德區清潔隊,58,,0000020791,-1
53657,AAH-813,20241121,175313,20241121,175753,八德區垃圾車,壓6,,9800,15190,八德區清潔隊,59,,0000020507,-1
53658,KEP-3821,20241121,175505,20241121,180015,八德區垃圾車,壓11,,7370,10850,八德區清潔隊,60,,0000020794,-1
53659,KEP-3822,20241121,175902,20241121,180439,八德區垃圾車,壓21,,7350,10780,八德區清潔隊,61,,0000020789,-1
53660,KEG-3218,20241121,180133,20241121,180654,八德區垃圾車,壓5,,9240,13260,八德區清潔隊,62,,0000020506,-1
53661,KED-2531/預備車,20241121,181423,20241121,182233,八德區垃圾車,壓17,,5070,7900,八德區清潔隊,63,,0000047606,-1
53662,KEP-5256,20241121,181652,20241121,182248,八德區垃圾車,壓18,,6440,9630,八德區清潔隊,64,*,0000020585,-1
53663,KEE-3801,20241121,181610,20241121,182259,八德區垃圾車,壓7,,7710,11520,八德區清潔隊,65,,0000020598,-1
53664,920-UW,20241121,183434,20241121,184005,八德區垃圾車,壓22,,7050,11150,八德區清潔隊,66,,0000020593,-1
53665,KEE-3861,20241121,183527,20241121,184108,八德區垃圾車,壓8,,5890,9160,八德區清潔隊,67,,0000020509,-1
53666,166-VM/預備車,20241121,184029,20241121,184516,八德區垃圾車,市場車,,6960,10710,八德區清潔隊,68,,0002756357,-1
53667,KEP-5261,20241121,184556,20241121,185140,八德區垃圾車,壓12,,6550,8910,八德區清潔隊,69,,0000020587,-1
53668,KEK-2897,20241121,184949,20241121,185555,八德區垃圾車,壓9,,10330,15600,八德區清潔隊,70,,0002756369,-1
53669,KES-5103,20241121,190300,20241121,190733,八德區垃圾車,壓23,,5220,6830,八德區清潔隊,71,,0000020793,-1
53670,KEA-7213,20241121,190850,20241121,191436,八德區清潔隊,市場車,,9510,14250,八德區清潔隊,72,,0000020596,-1
53671,KEJ-6305,20241121,191023,20241121,191600,八德區垃圾車,壓17,,5960,8270,八德區清潔隊,73,,0000020791,-1
53672,KEP-3821,20241121,193934,20241121,194437,八德區垃圾車,壓11,,7360,10030,八德區清潔隊,74,,0000020794,-1
53673,767-S5,20241121,170744,20241121,194511,八德區垃圾車,壓16,,13600,15330,八德區清潔隊,75,,0000020515,-1
53674,768-S5,20241121,194734,20241121,195241,八德區垃圾車,壓3,,9900,16230,八德區清潔隊,76,,0000020505,-1
53675,KEG-3218,20241121,194921,20241121,195453,八德區垃圾車,壓5,,9230,12780,八德區清潔隊,77,,0000020506,-1
53676,KEE-3801,20241121,195055,20241121,195530,八德區垃圾車,壓7,,7590,11080,八德區清潔隊,78,,0000020598,-1
53677,AAH-813,20241121,200200,20241121,200553,八德區垃圾車,壓6,,9800,14490,八德區清潔隊,79,,0000020507,-1
53678,920-UW,20241121,200933,20241121,201500,八德區垃圾車,壓22,,7060,9820,八德區清潔隊,80,,0000020593,-1
53679,KEP-3822,20241121,201105,20241121,201613,八德區垃圾車,壓21,,7310,11590,八德區清潔隊,81,,0000020789,-1
53680,KEP-5261,20241121,201321,20241121,201942,八德區垃圾車,壓12,,6530,8540,八德區清潔隊,82,,0000020587,-1
53681,KEK-2897,20241121,201348,20241121,202110,八德區垃圾車,壓9,,10400,12810,八德區清潔隊,83,,0002756369,-1
53682,KES-5103,20241121,201439,20241121,202231,八德區垃圾車,壓23,,5210,7200,八德區清潔隊,84,,0000020793,-1
53683,KEJ-6305,20241121,202029,20241121,202509,八德區垃圾車,壓17,,5950,7590,八德區清潔隊,85,,0000020791,-1
53684,KEE-3861,20241121,202049,20241121,202558,八德區垃圾車,壓8,,5900,8900,八德區清潔隊,86,,0000020509,-1
53685,KEP-5256,20241121,203749,20241121,204159,八德區垃圾車,壓18,,6440,9140,八德區清潔隊,87,*,0000020585,-1
53686,166-VM/預備車,20241121,203916,20241121,204404,八德區垃圾車,市場車,,7010,9580,八德區清潔隊,88,,0002756357,-1
53687,KEA-7212,20241121,204706,20241121,205306,八德區垃圾車,壓1,,9670,16360,八德區清潔隊,89,,0000047611,-1
53688,KLD-5506,20241122,051505,20241122,061005,正億,,垃圾,18040,37150,八德區清潔隊,34,#,,-1
53689,LAG-219,20241122,052039,20241122,063039,正億,,垃圾,18000,37500,八德區清潔隊,91,#,,-1
53690,KEP-5260,20241121,192817,20241121,193317,八德區垃圾車,壓19,,6510,9440,八德區清潔隊,74,#,,-1
53691,KEG-3101,20241122,083738,20241122,085134,蘆竹區中隊,,彈簧床,4470,5090,八德區清潔隊,1,,,-1
53692,KEA-9702,20241122,084535,20241122,090535,八德區中隊,轉運車,垃圾,20690,39660,八德區清潔隊,92,#,,-1
53693,705-UA,20241122,090738,20241122,091113,八德區清潔隊,,,4080,4270,八德區清潔隊,3,,0000020533,-1
53694,KEQ-9663,20241122,090855,20241122,091409,大園區中隊,,彈簧床,6550,8200,八德區清潔隊,4,,,-1
53695,KLD-5506,20241122,085537,20241122,092037,正億,,垃圾,18040,38810,八德區清潔隊,3,#,,-1
53696,LAG-219,20241122,091032,20241122,093332,正億,,垃圾,18000,38410,八德區清潔隊,6,#,,-1
53697,448-VM,20241122,093145,20241122,093739,八德區清潔隊,社區定點,,7130,11120,八德區清潔隊,7,*,0000020589,-1
53698,KEK-5997,20241122,093254,20241122,094419,八德區清潔隊,,樹枝,4370,5350,八德區清潔隊,8,,0000023031,-1
53699,851-UA,20241122,094116,20241122,094607,八德區清潔隊,,,4110,4920,八德區清潔隊,9,,0000020534,-1
53700,KEA-9797,20241122,094357,20241122,094703,中壢區中隊,,彈簧床,4280,5290,八德區清潔隊,10,,,-1
53701,693-UA,20241122,094436,20241122,094724,中壢區中隊,,彈簧床,4160,4680,八德區清潔隊,11,,,-1
53702,KEP-6151,20241122,093517,20241122,094939,八德區清潔隊,社區定點,,10320,13810,八德區清潔隊,12,,000004760,-1
53703,KEG-3126,20241122,094023,20241122,095001,楊梅區中隊,,彈簧床,8940,10180,八德區清潔隊,13,,,-1
53704,KEK-5997,20241122,095533,20241122,095843,八德區清潔隊,,樹枝,4370,4410,八德區清潔隊,14,,0000023031,-1
53705,KEK-2002,20241122,095937,20241122,100506,八德區清潔隊,黑包組,,4190,4770,八德區清潔隊,15,,0000020548,-1
53706,702-UA,20241122,100205,20241122,100844,八德區清潔隊,,,4140,4620,八德區清潔隊,16,*,0000020531,-1
53707,KEE-3253,20241122,101013,20241122,102044,新屋區中隊,,彈簧床,4410,5700,八德區清潔隊,17,,,-1
53708,KED-2531/預備車,20241122,101534,20241122,102142,八德區垃圾車,壓17,,5180,5660,八德區清潔隊,18,,0000047606,-1
53709,980-UN,20241122,102507,20241122,102634,八德區清潔隊,,,6200,7670,八德區清潔隊,19,,0000020542,-1
53710,030-VM,20241122,102531,20241122,102914,八德區清潔隊,抓斗車,,7960,9680,八德區清潔隊,20,*,0000020551,-1
53711,KEP-2602/預備車,20241122,102452,20241122,103152,八德區垃圾車,社區定點,,10210,15330,八德區清潔隊,21,,0000020785,-1
53712,KEG-3101,20241122,103252,20241122,103840,蘆竹區中隊,,彈簧床,4480,5150,八德區清潔隊,22,,,-1
53713,210-UN,20241122,103308,20241122,104124,蘆竹區中隊,,彈簧床,4320,4950,八德區清潔隊,23,,,-1
53714,566-VA,20241122,103449,20241122,104324,蘆竹區中隊,,彈簧床,4290,4900,八德區清潔隊,24,,,-1
